"Mes","Nom mes","Any","Regió Policial (RP)","Àrea Bàsica Policial (ABP)","Aeroport","Tipus de fet","Nombre"
"4","abril","2025","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","1"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","10"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","8"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","5"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","17"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","79"
"3","març","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","164"
"2","febrer","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","6"
"2","febrer","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","6"
"2","febrer","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"2","febrer","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","7"
"2","febrer","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","27"
"4","abril","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","6"
"4","abril","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"4","abril","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","9"
"4","abril","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","11"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","207"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","85"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","19"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","12"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","1"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","11"
"5","maig","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","5"
"5","maig","2025","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt","1"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","177"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","81"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","16"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","13"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","9"
"6","juny","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","5"
"7","juliol","2025","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","4"
"7","juliol","2025","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt interior vehicle","1"
"7","juliol","2025","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt interior vehicle (lleu)","1"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","177"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","74"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","13"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","10"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb violència i/o intimidació","3"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori amb força interior vehicle","21"
"7","juliol","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Robatori o furt d'ús de vehicle","2"
"7","juliol","2025","RP Camp de Tarragona","ABP Baix Camp - Priorat","Reus","Furt (lleu)","1"
"8","agost","2025","RP Girona","ABP Selva Interior","Vilobí d'Onyar","Furt","2"
"8","agost","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt","183"
"8","agost","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt (lleu)","73"
"8","agost","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle","7"
"8","agost","2025","RP Metropolitana Sud","ABP el Prat de Llobregat","el Prat de Llobregat","Furt interior vehicle (lleu)","3"
